         9752559 function calls (9703528 primitive calls) in 40.129 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      702   16.302    0.023   16.302    0.023 {method 'acquire' of '_thread.lock' objects}
      115    9.217    0.080    9.217    0.080 {method 'recompute' of 'App.Document' objects}
       23    1.594    0.069    1.667    0.072 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\feminout\importCcxFrdResults.py:245(read_frd_result)
       23    1.018    0.044    1.018    0.044 {method 'writeABAQUS' of 'Fem.FemMesh' objects}
        6    0.966    0.161    0.966    0.161 {built-in method _imp.create_dynamic}
   237219    0.519    0.000    1.201    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\linalg\linalg.py:2342(norm)
    79061    0.515    0.000    2.509    0.000 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femresult\resulttools.py:606(calculate_von_mises)
    79061    0.502    0.000    0.908    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\linalg\linalg.py:1065(eigvalsh)
      779    0.474    0.001    0.478    0.001 {built-in method io.open_code}
    94182    0.423    0.000    0.423    0.000 {method 'addVolume' of 'Fem.FemMesh' objects}
       23    0.368    0.016    0.368    0.016 {method 'getFacesByFace' of 'Fem.FemMesh' objects}
       23    0.364    0.016    0.364    0.016 {method 'getNodesByFace' of 'Fem.FemMesh' objects}
    79061    0.363    0.000    1.609    0.000 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femresult\resulttools.py:616(calculate_principal_stress_std)
       74    0.344    0.005    0.344    0.005 {built-in method scipy.spatial._distance_pybind.cdist_euclidean}
399755/399413    0.297    0.000    3.381    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
319808/319801    0.276    0.000    0.276    0.000 {built-in method numpy.asarray}
       23    0.272    0.012    0.350    0.015 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\feminout\importToolsFem.py:338(fill_femresult_mechanical)
       23    0.252    0.011    0.812    0.035 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femmesh\meshtools.py:2442(compact_mesh)
        1    0.242    0.242    1.230    1.230 {built-in method FreeCAD.open}
       69    0.240    0.003    0.240    0.003 {built-in method _winapi.CreateProcess}
   237210    0.238    0.000    0.238    0.000 {method 'dot' of 'numpy.ndarray' objects}
     3715    0.230    0.000    0.230    0.000 {built-in method nt.stat}
    79107    0.228    0.000    0.686    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\_methods.py:164(_mean)
    81249    0.227    0.000    0.227    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   158122    0.220    0.000    0.220    0.000 {method 'addNode' of 'Fem.FemMesh' objects}
    48249    0.185    0.000    0.185    0.000 {method 'getElementNodes' of 'Fem.FemMesh' objects}
      779    0.183    0.000    0.183    0.000 {method 'read' of '_io.BufferedReader' objects}
  1985218    0.175    0.000    0.175    0.000 {method 'append' of 'list' objects}
    79108    0.166    0.000    0.185    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\_methods.py:67(_count_reduce_items)
    83517    0.146    0.000    0.146    0.000 {built-in method numpy.array}
       23    0.139    0.006    0.149    0.006 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femresult\resulttools.py:265(fill_femresult_stats)
       23    0.138    0.006    0.957    0.042 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femresult\resulttools.py:580(compact_result)
   237219    0.137    0.000    1.546    0.000 <__array_function__ internals>:177(norm)
       23    0.130    0.006    8.696    0.378 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\feminout\importCcxFrdResults.py:69(importFrd)
       23    0.130    0.006    1.771    0.077 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femresult\resulttools.py:386(add_principal_stress_std)
